;noun;n
1;irák;59636
2;turecko;43979
3;afghánistán;30634
4;írán;29403
5;turek;26971
6;muslim;26162
7;egypt;23887
8;bosna;23631
9;sýrie;22373
10;palestinec;20093
11;kosovo;17610
12;pákistán;14248
13;albánec;10951
14;indonésie;9893
15;libye;9073
16;libanon;8669
17;arab;8665
18;kazachstán;7845
19;albánie;7547
20;iráčan;6790
21;palestina;6586
22;malajsie;6455
23;maroko;6211
24;nigérie;5850
25;tunisko;5729
26;kuvajt;5120
27;ázerbájdžán;4465
28;alžírsko;4461
29;súdán;4202
30;egypťan;4121
31;jordánsko;4018
32;jemen;3566
33;íránec;3347
34;afghánec;3219
35;guinea;3163
36;syřan;2647
37;bangladéš;2600
38;uzbekistán;2527
39;bahrajn;2299
40;bosňan;1928
41;senegal;1741
42;sierra leone;1730
43;kazach;1691
44;maročan;1631
45;pákistánec;1586
46;saúd;1581
47;nigerijec;1406
48;tádžikistán;1357
49;libyjec;1268
50;muslimka;1229
51;omán;1175
52;turkmenistán;1111
53;tunisan;1072
54;alžířan;1067
55;niger;1037
56;libanonec;1022
57;peršan;799
58;indonésan;765
59;uzbek;731
60;gambie;564
61;jordánec;491
62;burkina faso;472
63;turkyně;471
64;kosovan;466
65;kuvajťan;427
66;senegalec;423
67;ázerbájdžánec;418
68;bosňák;378
69;jemenec;353
70;tádžik;344
71;súdánec;311
72;turkmen;290
73;íránka;263
74;albánka;249
75;palestinka;197
76;malajsijec;180
77;arabka;180
78;egypťanka;163
79;afghánka;152
80;bangladéšan;144
81;iráčanka;131
82;maročanka;125
83;nigerijka;105
84;indonésanka;96
85;pákistánka;91
86;kazaška;87
87;bosňanka;78
88;peršanka;75
89;jordánka;70
90;syřanka;66
91;afgánec;65
92;ománec;63
93;alžířanka;56
94;tunisanka;53
95;libanonka;52
96;senegalka;33
97;kuvajťanka;26
98;gambijec;25
99;jemenka;25
100;bahrajnec;17
101;burkiňan;6
102;uzbečka;6
103;bangladéšanka;5
104;kosovanka;5
105;bosňačka;1
