;noun;n
1;člověk;2304491
2;dítě;1144297
3;hráč;802388
4;muž;766750
5;žena;723611
6;trenér;648452
7;soupeř;499507
8;ředitel;478810
9;člen;445654
10;divák;418493
11;host;404549
12;starosta;381222
13;ministr;377130
14;obyvatel;367801
15;šéf;358478
16;občan;347077
17;návštěvník;346138
18;osoba;323828
19;policista;320893
20;lékař;314067
21;majitel;313205
22;česko;298692
23;kouč;294027
24;řidič;279656
25;odborník;274232
26;zástupce;260741
27;vítěz;256194
28;žák;252108
29;zaměstnanec;249549
30;mistr;248564
31;německo;236858
32;druh;232559
33;čech;228027
34;pacient;225415
35;účastník;218050
36;pracovník;217113
37;přítel;215565
38;kolega;214076
39;herec;210776
40;režisér;195186
41;zájemce;192364
42;hasič;185651
43;poslanec;182365
44;rusko;177581
45;manažer;174999
46;představitel;171974
47;čtenář;169870
48;kandidát;153265
49;voják;150090
50;turista;146550
51;učitel;146399
52;novinář;146265
53;střelec;145746
54;kamarád;145195
55;francie;141667
56;slovensko;140679
57;kapitán;136351
58;němec;135539
59;demokrat;133794
60;umělec;131861
61;král;130882
62;mladík;129866
63;příznivec;126415
64;závodník;123708
65;sportovec;123450
66;bratr;121173
67;úředník;115691
68;senior;115363
69;polsko;107562
70;američan;105151
71;čína;101910
72;zpěvák;100900
73;svěřenec;99298
74;strážník;99074
75;expert;96000
76;tvůrce;94936
77;itálie;94285
78;existence;94218
79;vědec;93997
80;architekt;91616
81;vlastník;91471
82;záložník;90873
83;rakousko;90526
84;nováček;89885
85;soudce;88767
86;asistent;84911
87;soused;82838
88;sestra;82433
89;obchodník;79712
90;profesor;77405
91;důchodce;77306
92;vůdce;75574
93;dospělý;74846
94;cizinec;73819
95;příslušník;73251
96;rodák;71913
97;dáma;70193
98;posluchač;67519
99;učitelka;67246
100;analytik;66767
101;malíř;66706
102;starostka;65858
103;údržba;65422
104;uživatel;64384
105;borec;63238
106;uchazeč;62559
107;tiskový mluvčí;61473
108;jedinec;61046
109;pilot;60595
110;španělsko;60464
111;velitel;60203
112;protivník;59500
113;právník;59431
114;fotograf;59406
115;jednotlivec;59072
116;babička;58504
117;znalec;57963
118;izrael;57676
119;generální ředitel;57129
120;rus;56309
121;chlap;54913
122;děvče;54730
123;pedagog;54718
124;japonsko;53769
125;prodejce;53702
126;nepřítel;52050
127;dělník;51528
128;ukrajina;51294
129;maďarsko;50989
130;konkurent;50551
131;bojovník;50401
132;švýcarsko;50141
133;kanada;49829
134;polák;49358
135;rom;49202
136;pracovnice;48882
137;tajemník;47371
138;odpůrce;47141
139;zemědělec;46670
140;slovák;46374
141;francouz;45508
142;řecko;45210
143;průvodce;45176
144;psycholog;43448
145;švédsko;43279
146;generál;42082
147;pražan;41783
148;ministryně;40681
149;specialista;40164
150;bytost;39473
151;státní zástupce;39311
152;vrah;39303
153;ochránce;39081
154;modelka;38921
155;princezna;38391
156;advokát;38293
157;činitel;37136
158;uprchlík;37044
159;dobrovolník;36712
160;žadatel;36684
161;atlet;36625
162;austrálie;36347
163;indie;35831
164;ital;35330
165;chovatel;35034
166;rybář;34680
167;kuchař;34298
168;kuba;34046
169;žid;33690
170;princ;33215
171;zastánce;32441
172;nizozemsko;31533
173;brit;31310
174;belgie;31262
175;bezdomovec;30799
176;finsko;30487
177;redaktor;30298
178;irsko;30240
179;pozorovatel;30172
180;kovář;30162
181;pomocník;30124
182;věřitel;29829
183;dirigent;29705
184;kněz;29700
185;brazílie;29543
186;lékařka;29078
187;sběratel;28480
188;vinař;28352
189;matěj;28023
190;technik;27951
191;celebrita;27845
192;krejčí;27805
193;jugoslávie;27510
194;komisař;27105
195;evropan;26709
196;krajan;26481
197;chorvatsko;26416
198;muslim;26162
199;horák;26065
200;sekretář;25614
201;nezaměstnaný;25455
202;švéd;25157
203;řemeslník;24790
204;farář;24362
205;portugalsko;24360
206;dánsko;24273
207;španěl;23976
208;norsko;23967
209;dlužník;23786
210;rakušan;23761
211;dědeček;23645
212;památkář;23394
213;srb;23382
214;cestovatel;23365
215;horník;23331
216;adept;23314
217;archeolog;23159
218;rumunsko;23064
219;společník;22575
220;mexiko;22378
221;stoupenec;22194
222;detektiv;22178
223;manažerka;22116
224;strážce;22008
225;vládce;21725
226;srbsko;20999
227;milenec;20925
228;křesťan;20677
229;češka;20613
230;inženýr;20435
231;gigant;20432
232;sok;20423
233;sólista;19833
234;meteorolog;19805
235;lodivod;19791
236;silničář;19635
237;lovec;19570
238;brňan;19378
239;čarodějnice;19364
240;intelektuál;19230
241;pěstitel;18918
242;inspektor;18846
243;lupič;18777
244;bulharsko;18635
245;vyznavač;18314
246;ekolog;18300
247;číňan;18221
248;laik;18160
249;protagonista;18123
250;soudkyně;18112
251;miláček;17903
252;pasažér;17851
253;začátečník;17598
254;patron;17568
