Sent	NegAdj	Noun	Adj	Fq	AdjFq
POS/NEG	A	Vietnam	důležitý	206	29.2396917616422
POS	A	Holanďan	jasný	49	10.0533255432168
NEG	A	Angličanka	poslední	90	15.0574478309579
NEG	A	Nizozemsko	špatný	317	41.4186598739783
POS	A	Polák	příjemný	159	22.7882104833593
POS	A	Slovensko	kladný	194	35.4058012516062
POS	A	Rakousko	zkušený	636	94.4818478521656
POS	A	Slovák	senzační	63	16.2195305610598
POS	A	Německo	charitativní	112	16.2734001661601
NEG	A	Francie	bláznivý	157	36.8679615762274
POS	A	Ukrajina	civilizovaný	46	10.3975019112801
POS	A	Němka	bohatý	55	31.0570089124269
POS/NEG	A	Rumun	obrovský	66	10.1061308567623
NEG	A	Francouz	složitý	121	20.2734570862663
POS/NEG	A	Maďar	velký	1978	361.163855084887
NEG	A	Rakousko	zraněný	248	37.9185539901422
NEG	A	Německo	původní	1648	218.291451245631
POS	A	Německo	rehabilitační	73	14.8610873365333
POS	A	Francouz	šťastný	183	44.0542194980418
POS	A	Polsko	základní	2006	254.367801486178
POS	A	Maďar	bohatý	168	85.2151761185079
NEG	A	Německo	závislý	804	173.692354156939
POS	A	Mongolsko	tradiční	130	18.0344457852062
POS	A	Čína	velkolepý	160	28.2067411715933
NEG	A	Čech	podezřelý	737	285.936860006122
NEG	A	Ital	oslabený	33	12.6447662960821
POS	A	Němec	záchranný	395	68.8850126918749
POS	A	Rom	spravedlivý	59	10.4606025013087
POS	A	Rusko	přitažlivý	108	22.27486382099
POS	A	Slovensko	věnovaný	238	62.3163930040941
NEG	A	Bělorus	podezřelý	24	10.493253968254
NEG	A	Německo	závažný	342	47.1176493481921
POS	A	Češka	mimořádný	70	10.3088718705404
POS	A	Čína	hodný	53	11.6244727749306
POS	A	Rakousko	šťastný	168	49.2593146621901
POS	A	Ukrajina	duchovní	70	11.6017484513746
POS	A	Německo	čestný	387	52.1275999908768
POS	A	Itálie	revoluční	97	15.8586071255753
NEG	A	Rumunsko	odlišný	70	11.2885441661939
NEG	A	Itálie	ztracený	85	15.0558721898831
POS	A	Itálie	ochotný	239	35.8185032858189
POS	A	Vietnam	pravý	67	11.8024076295954
POS/NEG	A	Nizozemsko	velký	8199	1699.8955015721
POS	A	Čína	krásný	404	72.4418346525496
